# Log Gross Income (lower edge), Log Gross Income (upper edge), Log Net Wealth (lower edge), Log Net Wealth (upper edge), Probability
10.6, 10.8, 1.5, 2.0, 0.0
10.6, 10.8, 2.0, 2.5, 0.0
10.6, 10.8, 2.5, 3.0, 0.0
10.6, 10.8, 3.0, 3.5, 0.0005653283333282022
10.6, 10.8, 3.5, 4.0, 0.0006179869384190726
10.6, 10.8, 4.0, 4.5, 0.00040877727680095594
10.6, 10.8, 4.5, 5.0, 0.0
10.6, 10.8, 5.0, 5.5, 0.00627998522007433
10.6, 10.8, 5.5, 6.0, 0.004308978155442398
10.6, 10.8, 6.0, 6.5, 0.010052753118033263
10.6, 10.8, 6.5, 7.0, 0.027697438837823777
10.6, 10.8, 7.0, 7.5, 0.0181532384137837
10.6, 10.8, 7.5, 8.0, 0.045816424423861316
10.6, 10.8, 8.0, 8.5, 0.05251519132010722
10.6, 10.8, 8.5, 9.0, 0.07976970770910187
10.6, 10.8, 9.0, 9.5, 0.06642518401227104
10.6, 10.8, 9.5, 10.0, 0.12303656074826087
10.6, 10.8, 10.0, 10.5, 0.15887618022879482
10.6, 10.8, 10.5, 11.0, 0.12006691084561358
10.6, 10.8, 11.0, 11.5, 0.1344460945640073
10.6, 10.8, 11.5, 12.0, 0.07364129431717327
10.6, 10.8, 12.0, 12.5, 0.03509599873328561
10.6, 10.8, 12.5, 13.0, 0.023405894252677785
10.6, 10.8, 13.0, 13.5, 0.009833938512128071
10.6, 10.8, 13.5, 14.0, 0.00578078584804324
10.6, 10.8, 14.0, 14.5, 0.0011505932220902415
10.6, 10.8, 14.5, 15.0, 0.0014659129644475361
10.6, 10.8, 15.0, 15.5, 0.000427103302334071
10.6, 10.8, 15.5, 16.0, 1.1277656733371724e-05
10.6, 10.8, 16.0, 16.5, 1.880707158407612e-05
10.6, 10.8, 16.5, 17.0, 0.0
10.6, 10.8, 17.0, 17.5, 0.0
10.8, 11.0, 0.0, 0.5, 0.0
10.8, 11.0, 0.5, 1.0, 0.0
10.8, 11.0, 1.0, 1.5, 0.0
10.8, 11.0, 1.5, 2.0, 0.009946297721390199
10.8, 11.0, 2.0, 2.5, 0.0
10.8, 11.0, 2.5, 3.0, 0.0
10.8, 11.0, 3.0, 3.5, 0.0
10.8, 11.0, 3.5, 4.0, 0.0007572378416484639
10.8, 11.0, 4.0, 4.5, 0.0
10.8, 11.0, 4.5, 5.0, 0.0018038914103448598
10.8, 11.0, 5.0, 5.5, 0.0035859100798009045
10.8, 11.0, 5.5, 6.0, 0.007120410982139188
10.8, 11.0, 6.0, 6.5, 0.017623462852872758
10.8, 11.0, 6.5, 7.0, 0.016905306778939658
10.8, 11.0, 7.0, 7.5, 0.012661824192678316
10.8, 11.0, 7.5, 8.0, 0.02925692621291493
10.8, 11.0, 8.0, 8.5, 0.06479146408353169
10.8, 11.0, 8.5, 9.0, 0.04315447993674573
10.8, 11.0, 9.0, 9.5, 0.06980763638608407
10.8, 11.0, 9.5, 10.0, 0.11765814395553514
10.8, 11.0, 10.0, 10.5, 0.15781962584728282
10.8, 11.0, 10.5, 11.0, 0.14635641979307096
10.8, 11.0, 11.0, 11.5, 0.1130614439569298
10.8, 11.0, 11.5, 12.0, 0.10289084384098492
10.8, 11.0, 12.0, 12.5, 0.045724632280357995
10.8, 11.0, 12.5, 13.0, 0.01549997817263889
10.8, 11.0, 13.0, 13.5, 0.012543500315771965
10.8, 11.0, 13.5, 14.0, 0.00549977205444194
10.8, 11.0, 14.0, 14.5, 0.004407361316594908
10.8, 11.0, 14.5, 15.0, 0.0007745887787579416
